,0
0,000
1,0001
2,000s
3,00138
4,0025
5,00674
6,007
7,010
8,0308
9,035
10,039
11,041
12,043
13,0646
14,073
15,0tic
16,100
17,1000
18,10000
19,100000
20,1000s
21,1000x
22,100_jamie
23,100_percent
24,100k
25,100x
26,100year
27,101
28,1013
29,1017
30,102
31,10200
32,103
33,1030
34,105
35,10600
36,107100
37,1076
38,108
39,10a
40,10k
41,10th
42,10th_amendment
43,10tv
44,10x
45,10yo
46,10yr
47,110
48,1100
49,110k
50,1111
51,113
52,1141
53,1145
54,115
55,115000
56,115360
57,116
58,1181
59,11old
60,11th
61,11thhour
62,11ybots
63,120
64,1200
65,120000
66,120th
67,1210
68,1215
69,125
70,1255
71,126
72,1260
73,12600
74,127
75,129
76,12th
77,12wks
78,12yo
79,130
80,131
81,1314
82,1340
83,135th
84,136
85,138
86,13974
87,13a
88,13th
89,13th_amendment
90,13yo
91,140
92,1400
93,14000
94,1400s
95,143
96,1469
97,1487
98,14a
99,14th
100,14th_amendment
101,14x
102,14yos
103,150
104,1500
105,15000
106,1507
107,150k
108,150metre
109,1516
110,153
111,153rd
112,154
113,155
114,157
115,15s
116,15th
117,15th_week
118,15wk
119,15wks
120,15yr
121,160
122,16191865
123,162
124,164
125,16401830
126,167
127,1684
128,16yo
129,16yr
130,1700
131,1700s
132,170k
133,1718
134,174
135,175
136,1750ad
137,1750ad_chance
138,175k
139,176
140,1776
141,178
142,1787
143,1790
144,17931850
145,179k
146,17th
147,17yo
148,180
149,1800
150,18009254733
151,1800_religious
152,1800s
153,181
154,182
155,1820s
156,1821
157,1828
158,184
159,18448682812
160,18479142500
161,1848
162,1849
163,185
164,1850
165,1860
166,1860s
167,1861
168,1865
169,1866
170,1868
171,1869
172,187
173,1870s
174,1873
175,1879
176,188
177,1880
178,18801910
179,1880s
180,1882
181,1887
182,18mar
183,18th
184,18usc
185,18weeks
186,18yo
187,1900
188,1905
189,1906
190,1909
191,1910
192,1917
193,1920
194,19202023
195,1920s
196,1930
197,1930s
198,1931
199,19332020
200,1934_marxist
201,1940
202,1940s
203,1942
204,1943
205,1945
206,1946
207,195
208,1950
209,1950s
210,1952
211,1953
212,1955
213,1956
214,1958
215,1959
216,196
217,1960
218,1960s
219,1961
220,1962
221,1963
222,1964
223,1965
224,1966
225,1967
226,1968
227,1969
228,19691973
229,1970
230,1970s
231,1971
232,1972
233,19722022
234,1972republican
235,1973
236,19732019
237,1973_extremelyevil
238,1973_roe
239,1974
240,1975
241,1976
242,1977
243,1978
244,197o
245,1980
246,1980s
247,1981
248,1982
249,1983
250,1984
251,1985
252,1986
253,1988
254,1989
255,19892019
256,1990
257,1990s
258,1991
259,1992
260,1993
261,1994
262,1995
263,1996
264,1997
265,1998
266,19982005
267,1999
268,19th
269,19th_century
270,19thc
271,1as
272,1done
273,1or
274,1st
275,1st2nd
276,1st_amendment
277,1st_trimester
278,1this
279,1usc
280,1week
281,1wk
282,200
283,2000
284,20000
285,200000
286,2000s
287,2001
288,2002
289,2003
290,2004
291,2004_law
292,2005
293,2006
294,2007
295,2008
296,2009
297,200k
298,2010
299,2010s
300,2012
301,2013
302,2014
303,2015
304,2016
305,2017
